Begin	End	Name	Symbol	Gene Type
190	255	thr operon leader peptide	thrL	protein-coding
337	2799	fused aspartate kinase/homoserine dehydrogenase 1	thrA	protein-coding
2801	3733	homoserine kinase	thrB	protein-coding
3734	5020	threonine synthase	thrC	protein-coding
5234	5530	DUF2502 domain-containing protein YaaX	yaaX	protein-coding
5683	6459	DNA binding and peroxide stress response protein YaaA	yaaA	protein-coding
6529	7959	putative transporter YaaJ	yaaJ	protein-coding
8238	9191	transaldolase B	talB	protein-coding
9306	9893	molybdopterin adenylyltransferase	mog	protein-coding
9928	10494	acetate/succinate:H(+) symporter	satP	protein-coding
10643	11356	putative enzyme-specific chaperone YaaW	yaaW	protein-coding
10830	11315	uncharacterized protein MbiA	mbiA	protein-coding
11382	11786	DUF2541 domain-containing protein YaaI	yaaI	protein-coding
12163	14079	chaperone protein DnaK	dnaK	protein-coding
14168	15298	chaperone protein DnaJ	dnaJ	protein-coding
15445	16557	IS186/IS421 family transposase	insL1	protein-coding
16751	16960	regulatory protein MokC	mokC	protein-coding
16751	16903	protein HokC	hokC	protein-coding
16952	17010	small regulatory RNA antitoxin SokC	sokC	ncRNA
17489	18655	Na(+):H(+) antiporter NhaA	nhaA	protein-coding
18715	19620	DNA-binding transcriptional activator NhaR	nhaR	protein-coding
19811	20314	IS1 family protein InsB	insB1	protein-coding
20233	20508	IS1 family protein InsA	insA1	protein-coding
20815	21078	30S ribosomal subunit protein S20	rpsT	protein-coding
21181	21399	DUF2575 domain-containing protein YaaY	yaaY	protein-coding
21407	22348	bifunctional riboflavin kinase/FMN adenylyltransferase	ribF	protein-coding
22391	25207	isoleucine--tRNA ligase	ileS	protein-coding
25207	25701	lipoprotein signal peptidase	lspA	protein-coding
25826	26275	peptidyl-prolyl cis-trans isomerase FkpB	fkpB	protein-coding
26277	27227	4-hydroxy-3-methylbut-2-enyl diphosphate reductase	ispH	protein-coding
27293	28207	ribonucleoside hydrolase RihC	rihC	protein-coding
28374	29195	4-hydroxy-tetrahydrodipicolinate reductase	dapB	protein-coding
29651	30799	carbamoyl-phosphate synthetase small subunit	carA	protein-coding
30817	34038	carbamoyl-phosphate synthetase large subunit	carB	protein-coding
34300	34695	DNA-binding transcriptional activator CaiF	caiF	protein-coding
34781	35371	putative transferase CaiE	caiE	protein-coding
35377	36162	crotonobetainyl-CoA hydratase	caiD	protein-coding
36271	37824	carnitine--CoA ligase	caiC	protein-coding
37898	39115	gamma-butyrobetainyl-CoA:carnitine CoA transferase	caiB	protein-coding
39244	40386	crotonobetainyl-CoA reductase	caiA	protein-coding
40417	41931	L-carnitine:gamma-butyrobetaine antiporter	caiT	protein-coding
42403	43173	putative electron transfer flavoprotein FixA	fixA	protein-coding
43188	44129	putative electron transfer flavoprotein FixB	fixB	protein-coding
44180	45466	putative oxidoreductase FixC	fixC	protein-coding
45463	45750	putative ferredoxin FixX	fixX	protein-coding
45807	47138	putative transporter YaaU	yaaU	protein-coding
47246	47776	regulator of KefC-mediated potassium transport and quinone oxidoreductase	kefF	protein-coding
47769	49631	K(+) : H(+) antiporter KefC	kefC	protein-coding
49823	50302	dihydrofolate reductase	folA	protein-coding
50380	51222	diadenosine tetraphosphatase	apaH	protein-coding
51229	51606	DUF525 domain-containing protein ApaG	apaG	protein-coding
51609	52430	16S rRNA m(6)2A1518,m(6)2A1519 dimethyltransferase	rsmA	protein-coding
52427	53416	4-hydroxythreonine-4-phosphate dehydrogenase	pdxA	protein-coding
53416	54702	chaperone SurA	surA	protein-coding
54755	57109	lipopolysaccharide assembly protein LptD	lptD	protein-coding
57364	58179	co-chaperone protein DjlA	djlA	protein-coding
58474	59124	putative uncharacterized protein YabP	yabP	protein-coding
59121	59279	protein YabQ	yabQ	protein-coding
59687	60346	23S rRNA pseudouridine(746) and tRNA pseudouridine(32) synthase	rluA	protein-coding
60358	63264	RNA polymerase-binding ATPase and RNAP recycling factor	rapA	protein-coding
63429	65780	DNA polymerase II	polB	protein-coding
65855	66550	L-ribulose-5-phosphate 4-epimerase AraD	araD	protein-coding
66835	68337	L-arabinose isomerase	araA	protein-coding
68348	70048	ribulokinase	araB	protein-coding
70387	71265	DNA-binding transcriptional dual regulator AraC	araC	protein-coding
71351	72115	DedA family protein YabI	yabI	protein-coding
72229	72927	thiamine ABC transporter ATP binding subunit	thiQ	protein-coding
72911	74521	thiamine ABC transporter membrane subunit	thiP	protein-coding
74497	75480	thiamine ABC transporter periplasmic binding protein	thiB	protein-coding
75516	75608	small RNA SroA	sroA	ncRNA
75644	77299	DNA-binding transcriptional dual regulator SgrR	sgrR	protein-coding
77367	77593	small regulatory RNA SgrS	sgrS	ncRNA
77388	77519	PtsG glucose transporter inhibitor	sgrT	protein-coding
77621	78799	sugar exporter SetA	setA	protein-coding
78848	79453	3-isopropylmalate dehydratase subunit LeuD	leuD	protein-coding
79464	80864	3-isopropylmalate dehydratase subunit LeuC	leuC	protein-coding
80867	81958	3-isopropylmalate dehydrogenase	leuB	protein-coding
81958	83529	2-isopropylmalate synthase	leuA	protein-coding
83622	83708	leu operon leader peptide	leuL	protein-coding
84368	85312	DNA-binding transcriptional dual regulator LeuO	leuO	protein-coding
85467	85511	protein YabR	yabR	protein-coding
85630	87354	acetolactate synthase/acetohydroxybutanoate synthase, catalytic subunit	ilvI	protein-coding
87357	87848	acetolactate synthase/acetohydroxybutanoate synthase, regulatory subunit	ilvH	protein-coding
88028	89032	DNA-binding transcriptional dual regulator Cra	cra	protein-coding
89634	90092	DNA-binding transcriptional repressor MraZ	mraZ	protein-coding
90094	91035	16S rRNA m(4)C1402 methyltransferase	rsmH	protein-coding
91032	91397	cell division protein FtsL	ftsL	protein-coding
91413	93179	peptidoglycan DD-transpeptidase FtsI	ftsI	protein-coding
92485	92658	small regulatory RNA FtsO	ftsO	ncRNA
93166	94653	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase	murE	protein-coding
94650	96008	D-alanyl-D-alanine-adding enzyme	murF	protein-coding
96002	97084	phospho-N-acetylmuramoyl-pentapeptide-transferase	mraY	protein-coding
97087	98403	UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase	murD	protein-coding
98403	99647	peptidoglycan glycosyltransferase FtsW	ftsW	protein-coding
99644	100711	N-acetylglucosaminyl transferase	murG	protein-coding
100765	102240	UDP-N-acetylmuramate--L-alanine ligase	murC	protein-coding
102233	103153	D-alanine--D-alanine ligase B	ddlB	protein-coding
103155	103985	cell division protein FtsQ	ftsQ	protein-coding
103982	105244	cell division protein FtsA	ftsA	protein-coding
105305	106456	cell division protein FtsZ	ftsZ	protein-coding
106557	107474	UDP-3-O-acyl-N-acetylglucosamine deacetylase	lpxC	protein-coding
107705	108217	SecA translation regulator	secM	protein-coding
108279	110984	protein translocation ATPase	secA	protein-coding
111044	111433	8-oxo-dGTP diphosphatase	mutT	protein-coding
111649	111846	DNA gyrase inhibitor YacG	yacG	protein-coding
111856	112599	cell division factor ZapD	zapD	protein-coding
112599	113219	dephospho-CoA kinase	coaE	protein-coding
113244	113288	protein YacM	yacM	protein-coding
113444	114487	GMP reductase	guaC	protein-coding
114522	115724	inner membrane protein HofC	hofC	protein-coding
115714	117099	T2SSE family protein	hofB	protein-coding
117109	117549	prepilin-type N-terminal cleavage/methylation domain-containing protein PpdD	ppdD	protein-coding
117752	118645	quinolinate phosphoribosyltransferase (decarboxylating)	nadC	protein-coding
118733	119284	1,6-anhydro-N-acetylmuramoyl-L-alanine amidase	ampD	protein-coding
119281	120135	protein AmpE	ampE	protein-coding
120178	121551	aromatic amino acid:H(+) symporter AroP	aroP	protein-coding
122092	122856	DNA-binding transcriptional dual regulator PdhR	pdhR	protein-coding
123017	125680	pyruvate dehydrogenase E1 component	aceE	protein-coding
125695	127587	pyruvate dehydrogenase, E2 subunit	aceF	protein-coding
127912	129336	lipoamide dehydrogenase	lpd	protein-coding
129407	131260	DUF3300 domain-containing protein YacH	yacH	protein-coding
131615	134212	AcnB	acnB	protein-coding
134388	134750	PF06062 family protein YacL	yacL	protein-coding
134788	135582	S-adenosylmethionine decarboxylase proenzyme	speD	protein-coding
135598	136464	spermidine synthase	speE	protein-coding
136570	136917	putative lipoprotein YacC	yacC	protein-coding
137083	138633	multicopper oxidase CueO	cueO	protein-coding
138835	141225	quinoprotein glucose dehydrogenase	gcd	protein-coding
141431	141967	hypoxanthine phosphoribosyltransferase	hpt	protein-coding
142008	142670	carbonic anhydrase 2	can	protein-coding
142779	143705	putative ABC transporter ATP-binding protein YadG	yadG	protein-coding
143702	144472	putative ABC transporter membrane subunit YadH	yadH	protein-coding
144577	145017	putative PTS enzyme IIA component YadI	yadI	protein-coding
145081	146310	putative polysaccharide deacetylase lipoprotein YadE	yadE	protein-coding
146314	146694	aspartate 1-decarboxylase proenzyme	panD	protein-coding
146968	147870	recombination-promoting nuclease RpnC	rpnC	protein-coding
147944	148795	pantothenate synthetase	panC	protein-coding
148807	149601	3-methyl-2-oxobutanoate hydroxymethyltransferase	panB	protein-coding
149715	150953	fimbrial tip-adhesin YadC	yadC	protein-coding
151003	151599	putative fimbrial protein YadK	yadK	protein-coding
151626	152231	putative fimbrial protein YadL	yadL	protein-coding
152243	152812	putative fimbrial protein YadM	yadM	protein-coding
152829	155426	putative fimbrial usher protein HtrE	htrE	protein-coding
155461	156201	putative fimbrial chaperone YadV	yadV	protein-coding
156299	156883	putative fimbrial protein YadN	yadN	protein-coding
157253	157732	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase	folK	protein-coding
157729	159126	poly(A) polymerase I	pcnB	protein-coding
159186	160112	glutamyl-Q tRNA(Asp) synthetase	gluQ	protein-coding
160149	160604	RNA polymerase-binding transcription factor DksA	dksA	protein-coding
160782	161486	sugar fermentation stimulation protein A	sfsA	protein-coding
161501	162031	RNA 2',3'-cyclic phosphodiesterase	thpR	protein-coding
162105	164534	RNA-dependent NTPase HrpB	hrpB	protein-coding
164730	167264	peptidoglycan glycosyltransferase/peptidoglycan DD-transpeptidase MrcB	mrcB	protein-coding
167484	169727	ferrichrome outer membrane transporter/phage receptor	fhuA	protein-coding
169778	170575	iron(III) hydroxamate ABC transporter ATP binding subunit	fhuC	protein-coding
170575	171465	iron(III) hydroxamate ABC transporter periplasmic binding protein	fhuD	protein-coding
171462	173444	iron(III) hydroxamate ABC transporter membrane subunit	fhuB	protein-coding
173602	174882	glutamate-1-semialdehyde 2,1-aminomutase	hemL	protein-coding
175048	175095	protein YadX	yadX	protein-coding
175107	176528	chloride:H(+) antiporter ClcA	clcA	protein-coding
176552	176617	protein YadW	yadW	protein-coding
176610	176954	iron-sulfur cluster insertion protein ErpA	erpA	protein-coding
177001	177624	PF03458 family protein YadS	yadS	protein-coding
177662	178462	vitamin B12 ABC transporter periplasmic binding protein	btuF	protein-coding
178455	179153	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase	mtn	protein-coding
179237	180754	dGTP triphosphohydrolase	dgt	protein-coding
180884	182308	periplasmic serine endoprotease DegP	degP	protein-coding
182463	183620	DNA-binding transcriptional activator CdaR	cdaR	protein-coding
183709	184095	DUF3461 domain-containing protein YaeH	yaeH	protein-coding
184257	185069	phosphodiesterase YaeI	yaeI	protein-coding
185123	185947	tetrahydrodipicolinate succinylase	dapD	protein-coding
185978	188650	protein-PII uridylyltransferase/uridylyl-removing enzyme	glnD	protein-coding
188712	189506	methionine aminopeptidase	map	protein-coding
189712	189847	putative small RNA T44	tff	ncRNA
189874	190599	30S ribosomal subunit protein S2	rpsB	protein-coding
190857	191708	protein chain elongation factor EF-Ts	tsf	protein-coding
191855	192580	UMP kinase	pyrH	protein-coding
192872	193429	ribosome-recycling factor	frr	protein-coding
193521	194717	1-deoxy-D-xylulose 5-phosphate reductoisomerase	dxr	protein-coding
194784	194844	small regulatory RNA IspZ	ispZ	ncRNA
194903	195664	ditrans,polycis-undecaprenyl-diphosphate synthase [(2E,6E)-farnesyl-diphosphate specific]	ispU	protein-coding
195677	196534	CDP-diglyceride synthetase	cdsA	protein-coding
